MHA;MHA_NAME;E01;E02;E03;E04;E05;E06;E07;E08;E09;W01;W02;W03;W04;W05;O01E;O02E;O03E;O01;O02;O03;O04;O05;O06;O07
AK400;KETCHIKAN, AK;2019;2019;2019;2019;2316;2334;2469;2649;2838;2337;2547;2766;2865;2988;2502;2733;2883;2328;2331;2760;3027;3213;3240;3264
AK401;SITKA, AK;1815;1815;1815;1815;2559;2577;2583;2592;2670;2580;2589;2613;2697;2802;2586;2604;2709;2571;2574;2610;2835;2997;3021;3045
AK402;JUNEAU, AK;2115;2115;2115;2115;2697;2715;2769;2859;2973;2718;2808;2916;2997;3096;2781;2898;3009;2709;2712;2913;3126;3276;3300;3327
AK403;KODIAK ISLAND, AK;2112;2112;2112;2112;2412;2430;2562;2736;2943;2433;2634;2847;2979;3141;2592;2817;3003;2424;2427;2841;3195;3444;3471;3498
AK404;ANCHORAGE, AK;2040;2040;2040;2040;2448;2466;2619;2817;3069;2469;2703;2946;3117;3324;2655;2907;3147;2460;2463;2937;3393;3717;3747;3777
AK405;FAIRBANKS, AK;1992;1992;1992;1992;2256;2274;2358;2487;2655;2277;2415;2568;2688;2835;2382;2544;2709;2268;2271;2565;2883;3108;3132;3156
AL001;ANNISTON/FORT MCCLELLAN, AL;1047;1047;1047;1047;1077;1326;1398;1476;1590;1344;1434;1530;1614;1719;1410;1512;1629;1116;1323;1527;1752;1914;1926;1938
AL002;FORT NOVOSEL, AL;1305;1305;1305;1305;1443;1623;1764;1917;2094;1641;1830;2019;2124;2256;1791;1989;2142;1473;1620;2013;2298;2499;2517;2535
AL003;HUNTSVILLE, AL;1668;1668;1668;1668;1800;2238;2262;2271;2292;2259;2268;2280;2310;2385;2265;2274;2319;1857;2235;2277;2406;2520;2538;2556
AL004;MOBILE, AL;1701;1701;1701;1701;1884;2049;2067;2091;2184;2064;2079;2112;2217;2349;2070;2103;2232;1911;2046;2109;2391;2595;2613;2631
AL005;MONTGOMERY, AL;1365;1365;1365;1365;1416;1536;1617;1710;1878;1551;1659;1770;1920;2103;1632;1752;1947;1437;1533;1767;2166;2451;2466;2484
AL006;AUBURN, AL;1515;1515;1515;1515;1593;1680;1866;2073;2307;1695;1953;2208;2346;2511;1905;2169;2367;1614;1677;2199;2568;2829;2850;2871
AL007;BIRMINGHAM, AL;1647;1647;1647;1647;1815;1893;1968;2052;2133;1908;2004;2109;2145;2190;1980;2091;2148;1833;1890;2106;2202;2265;2280;2298
AR010;LITTLE ROCK, AR;1599;1599;1599;1599;1644;1662;1704;1755;1899;1674;1728;1794;1941;2121;1710;1779;1965;1656;1659;1791;2184;2466;2481;2499
AR012;FORT CHAFFEE/FORT SMITH, AR;1050;1050;1050;1050;1164;1794;1818;1827;1884;1815;1824;1836;1917;2052;1821;1830;1935;1242;1785;1833;2094;2301;2319;2334
AR411;FAYETTEVILLE, AR;1503;1503;1503;1503;1602;1731;1815;1911;2055;1746;1857;1974;2091;2232;1830;1953;2109;1626;1728;1971;2280;2502;2520;2538
